,Accuracy,Accuracy_std,ROC_AUC,ROC_AUC_std,F1,F1_std
Random Forest,0.7230769230769231,0.07324541977992667,0.8056279587858535,0.09254876398550728,0.6580482241772564,0.12784439372710144
XGBoost,0.7025641025641025,0.07709382758139952,0.7784461152882205,0.08242458992035923,0.6818637502848028,0.09158795892429737
SVM,0.6512820512820513,0.06607230116269296,0.6856892230576441,0.07563952577819662,0.5891528512933186,0.08014865346791353
Logistic Regression,0.6923076923076923,0.04290564238636283,0.707791701475912,0.06438083899755617,0.6016526610644257,0.11049376000200258
