Test_Dataset,Model,Accuracy,ROC_AUC,F1,Train_N,Test_N
PRJNA1019460,Random Forest,0.325,0.5497835497835498,0.37209302325581395,155,40
PRJNA1019460,XGBoost,0.2,0.6060606060606061,0.1111111111111111,155,40
PRJNA1259947,Random Forest,0.2926829268292683,0.33132530120481923,0.33587786259541985,72,123
PRJNA1259947,XGBoost,0.3170731707317073,0.3545180722891566,0.288135593220339,72,123
PRJNA471972,Random Forest,0.46875,0.39375000000000004,0.6382978723404256,163,32
PRJNA471972,XGBoost,0.59375,0.4041666666666667,0.7111111111111111,163,32
