Test_Dataset,Model,Accuracy,ROC_AUC,F1
PRJNA1019460,Random Forest,1.0,1.0,1.0
PRJNA1019460,XGBoost,0.7,0.42424242424242425,0.8235294117647058
PRJNA1259947,Random Forest,0.032520325203252036,0.001807228915662651,0.032520325203252036
PRJNA1259947,XGBoost,0.6666666666666666,0.4939759036144578,0.0
PRJNA471972,Random Forest,0.15625,0.0,0.0
PRJNA471972,XGBoost,0.59375,0.475,0.7450980392156863
