Test_Dataset,Model,Accuracy,ROC_AUC,F1,Train_N,Test_N
PRJNA1019460,Random Forest,0.175,0.683982683982684,0.05714285714285714,155,40
PRJNA1019460,XGBoost,0.375,0.7012987012987014,0.4186046511627907,155,40
PRJNA1259947,Random Forest,0.3089430894308943,0.3090361445783133,0.4585987261146497,72,123
PRJNA1259947,XGBoost,0.3089430894308943,0.2945783132530121,0.4217687074829932,72,123
PRJNA471972,Random Forest,0.46875,0.40208333333333335,0.6382978723404256,163,32
PRJNA471972,XGBoost,0.59375,0.6041666666666667,0.7450980392156863,163,32
