,Accuracy,Accuracy_std,ROC_AUC,ROC_AUC_std,F1,F1_std
Random Forest,0.7333333333333334,0.06993939331787616,0.80244917850181,0.09549324805639346,0.6812802309252614,0.11334308090398172
XGBoost,0.6923076923076923,0.09996712148522013,0.7695015316067948,0.07403655884242605,0.672807671494402,0.09512700918765109
SVM,0.6974358974358974,0.029902317409463103,0.752630186577555,0.042271567507696554,0.6087443792766373,0.06982148987919673
Logistic Regression,0.6923076923076923,0.04290564238636283,0.707791701475912,0.06438083899755617,0.6016526610644257,0.11049376000200258
