,max_depth,max_features,n_estimators,learning_rate,svc__C,svc__gamma,C
Random Forest,,log2,500,,,,
XGBoost,3.0,,200.0,0.1,,,
SVM,,,,,5.0,0.001,
Logistic Regression,,,,,,,1.0
