,Accuracy,Accuracy_std,ROC_AUC,ROC_AUC_std,F1,F1_std
Random Forest,0.8777777777777779,0.041573970964154876,0.7435416666666667,0.12805442576026074,0.13333333333333333,0.26666666666666666
XGBoost,0.8555555555555555,0.056655772373253144,0.8636111111111111,0.04760790213482435,0.27999999999999997,0.25438378704451886
SVM,0.6888888888888889,0.06666666666666665,0.4956944444444445,0.2293683455993066,0.08888888888888888,0.10886621079036347
Logistic Regression,0.7888888888888889,0.07370277311900889,0.5516666666666666,0.1996894773033347,0.32666666666666666,0.1717879830230017
